from_stop_id,to_stop_id,transfer_type,min_transfer_time
11874,12132,,
11882,12076,,
11730,11698,,
11707,11722,,
13593,13592,,
11561,11560,,
11858,11861,,
11803,11786,,
11484,11490,,
11585,11592,,
11704,11724,,
11475,11499,,
11530,11534,,
67,516,,
11695,11733,,
12078,11880,,
11521,11543,,
11787,11910,,
11717,11897,,
11870,11781,,
11909,11788,,
11767,11760,,
11816,11839,,
11756,11821,,
11534,11530,,
516,67,,
11473,11471,,
11754,11770,,
11543,11521,,
11598,11579,,
11488,11486,,
12025,12008,,
12410,12409,,
11497,11477,,
11726,11702,,
11711,11718,,
285,516,,
11762,11765,,
11600,11621,,
521,520,,
10568,64,,
11807,11845,,
11862,11857,,
13603,13598,,
11734,11694,,
11480,11494,,
11526,11538,,
516,285,,
11866,11853,,
11618,11600,,
11756,11646,,
11796,11634,,
11621,11618,,
504,1341,,
11493,11501,,
11699,11729,,
11853,11866,,
11725,11703,,
11648,11636,,
12131,11875,,
11602,11575,,
11821,11756,,
11555,11567,,
11593,11584,,
11788,11909,,
11844,11779,,
1342,7524,,
11618,11621,,
11522,11542,,
11476,11498,,
11531,11533,,
11833,12135,,
11564,11765,,
13596,13602,,
11897,11717,,
11535,11529,,
11900,11818,,
11485,11489,,
13594,13591,,
11708,11721,,
11595,11582,,
11498,11476,,
11883,12075,,
13664,7524,,
11565,11557,,
11712,11717,,
11839,11816,,
515,516,,
11544,11520,,
11489,11485,,
12075,11883,,
12036,2069,,
11868,11851,,
11731,11697,,
11910,11787,,
11721,11708,,
11564,11762,,
11619,11585,,
1341,504,,
11696,11732,,
11712,11897,,
11867,11852,,
12074,11884,,
11594,11583,,
11636,11648,,
12008,12025,,
11494,11480,,
11540,11524,,
11700,11728,,
11490,11484,,
11523,11541,,
11847,11805,,
11536,11528,,
519,66,,
11527,11537,,
11556,11566,,
11716,11713,,
11850,11869,,
11786,11803,,
11863,11856,,
11735,11693,,
11746,11586,,
12132,11874,,
11569,11553,,
11854,11865,,
11875,12131,,
11499,11475,,
11856,11863,,
11728,11700,,
7524,13664,,
11869,11850,,
11486,11488,,
12537,12538,,
11566,11556,,
11872,12134,,
11553,11569,,
516,515,,
11763,11559,,
11722,11707,,
11884,12074,,
12135,11833,,
11760,11767,,
67,68,,
11814,11841,,
11759,11580,,
66,519,,
11897,11712,,
11821,11646,,
11592,11619,,
11818,11900,,
11477,11497,,
12076,11882,,
11585,11619,,
13591,13594,,
122,3661,,
11840,11815,,
11693,11735,,
11519,11545,,
11580,11759,,
11702,11726,,
11880,12078,,
11583,11594,,
3661,122,,
11537,11527,,
11482,11492,,
11586,11746,,
11524,11540,,
11732,11696,,
12133,11873,,
11471,11473,,
11541,11523,,
11491,11483,,
11765,11564,,
11713,11716,,
11557,11565,,
11495,11479,,
11545,11519,,
11697,11731,,
11855,11864,,
11646,11821,,
11851,11868,,
10568,12036,,
11582,11595,,
11717,11712,,
11879,12128,,
11864,11855,,
515,285,,
11805,11847,,
11643,11640,,
11528,11536,,
11478,11496,,
11779,11844,,
11575,11602,,
11520,11544,,
11694,11734,,
11559,11763,,
283,3395,,
12077,11881,,
11719,11710,,
11815,11840,,
13598,13603,,
11770,11754,,
11861,11858,,
68,67,,
11873,12133,,
12409,12410,,
12538,12537,,
11729,11699,,
11500,11474,,
11881,12077,,
11857,11862,,
11496,11478,,
11600,11618,,
11710,11719,,
13637,13636,,
11619,11592,,
11474,11500,,
11584,11593,,
11703,11725,,
11841,11814,,
13592,13593,,
7524,1342,,
11560,11561,,
11542,11522,,
11533,11531,,
11579,11598,,
11592,11585,,
11698,11730,,
11646,11756,,
11865,11854,,
506,66,,
11640,11643,,
11718,11711,,
13636,13637,,
12134,11872,,
11501,11493,,
11733,11695,,
64,10568,,
11852,11867,,
11724,11704,,
11845,11807,,
11762,11564,,
11621,11600,,
11538,11526,,
11483,11491,,
11567,11555,,
13602,13596,,
11479,11495,,
11765,11762,,
11529,11535,,
66,506,,
12128,11879,,
11781,11870,,
11634,11796,,
11492,11482,,
285,515,,
520,521,,
