trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
3041941,14:10:00,14:10:00,7627,1,,,,,1
3041941,14:13:00,14:13:00,7628,2,,,,,1
3041941,14:18:00,14:18:00,7630,3,,,,,1
3041941,14:21:00,14:21:00,7631,4,,,,,1
3041941,14:23:00,14:23:00,7632,5,,,,,1
3041941,14:25:00,14:25:00,7634,6,,,,,1
3041941,14:27:00,14:27:00,7635,7,,,,,1
3041941,14:29:00,14:29:00,7637,8,,,,,1
3041941,14:31:00,14:31:00,7638,9,,,,,1
3041941,14:34:00,14:34:00,7639,10,,,,,1
3041941,14:36:00,14:36:00,7640,11,,,,,1
3041941,14:38:00,14:38:00,7641,12,,,,,1
3041941,14:40:31,14:40:31,7642,13,,,,,0
3041941,14:43:00,14:43:00,7643,14,,,,,1
3041941,14:46:00,14:46:00,7644,15,,,,,1
3041941,14:49:00,14:49:00,7645,16,,,,,1
3041941,14:51:00,14:51:00,7646,17,,,,,1
3041941,14:53:00,14:53:00,7648,18,,,,,1
3041941,14:54:00,14:54:00,7649,19,,,,,1
3041941,14:57:00,14:57:00,7650,20,,,,,1
3041941,14:59:00,14:59:00,7651,21,,,,,1
3041941,15:03:00,15:03:00,7652,22,,,,,1
3041941,15:04:00,15:04:00,7654,23,,,,,1
3041941,15:11:00,15:11:00,7655,24,,,,,1
3041941,15:13:00,15:13:00,7656,25,,,,,1
3041941,15:15:00,15:15:00,7657,26,,,,,1
3041941,15:20:00,15:20:00,7658,27,,,,,1
3041941,15:23:00,15:23:00,7659,28,,,,,1
3041941,15:25:00,15:25:00,7660,29,,,,,1
3041941,15:28:00,15:28:00,7661,30,,,,,1
3041941,15:30:00,15:30:00,7662,31,,,,,1
3041942,13:40:00,13:40:00,7627,1,,,,,1
3041942,13:43:00,13:43:00,7628,2,,,,,1
3041942,13:48:00,13:48:00,7630,3,,,,,1
3041942,13:51:00,13:51:00,7631,4,,,,,1
3041942,13:53:00,13:53:00,7632,5,,,,,1
3041942,13:55:00,13:55:00,7634,6,,,,,1
3041942,13:57:00,13:57:00,7635,7,,,,,1
3041942,13:59:00,13:59:00,7637,8,,,,,1
3041942,14:01:00,14:01:00,7638,9,,,,,1
3041942,14:04:00,14:04:00,7639,10,,,,,1
3041942,14:06:00,14:06:00,7640,11,,,,,1
3041942,14:08:00,14:08:00,7641,12,,,,,1
3041942,14:10:31,14:10:31,7642,13,,,,,0
3041942,14:13:00,14:13:00,7643,14,,,,,1
3041942,14:16:00,14:16:00,7644,15,,,,,1
3041942,14:19:00,14:19:00,7645,16,,,,,1
3041942,14:21:00,14:21:00,7646,17,,,,,1
3041942,14:23:00,14:23:00,7648,18,,,,,1
3041942,14:24:00,14:24:00,7649,19,,,,,1
3041942,14:27:00,14:27:00,7650,20,,,,,1
3041942,14:29:00,14:29:00,7651,21,,,,,1
3041942,14:33:00,14:33:00,7652,22,,,,,1
3041942,14:34:00,14:34:00,7654,23,,,,,1
3041942,14:41:00,14:41:00,7655,24,,,,,1
3041942,14:43:00,14:43:00,7656,25,,,,,1
3041942,14:45:00,14:45:00,7657,26,,,,,1
3041942,14:50:00,14:50:00,7658,27,,,,,1
3041942,14:53:00,14:53:00,7659,28,,,,,1
3041942,14:55:00,14:55:00,7660,29,,,,,1
3041942,14:58:00,14:58:00,7661,30,,,,,1
