route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
11693,3010,3042417,PENN STATION,,0,7002,133685,1,1
11693,301,3042418,HUNT VALLEY,,0,7008,133686,1,1
11693,301,3042419,HUNT VALLEY,,0,7013,133686,1,1
11693,3010,3042420,PENN STATION,,0,7009,133685,1,1
11693,3010,3042421,NORTH AVE STATION,,0,7002,133678,1,1
11693,3010,3042422,NORTH AVE STATION,,0,7009,133678,1,1
11693,3010,3042423,PENN STATION,,0,7002,133685,1,1
11693,3010,3042424,PENN STATION,,0,7009,133685,1,1
11693,3010,3042425,PENN STATION,,0,7002,133685,1,1
11693,3010,3042426,PENN STATION,,0,7009,133685,1,1
11693,3010,3042427,PENN STATION,,0,7002,133685,1,1
11693,3010,3042428,PENN STATION,,0,7009,133685,1,1
11693,3010,3042429,PENN STATION,,0,7002,133685,1,1
11693,3010,3042430,PENN STATION,,0,7009,133685,1,1
11693,3010,3042431,PENN STATION,,0,7002,133685,1,1
11693,3010,3042432,PENN STATION,,0,7009,133685,1,1
11693,3010,3042433,PENN STATION,,0,7002,133685,1,1
11693,3010,3042434,PENN STATION,,0,7009,133685,1,1
11693,3010,3042435,PENN STATION,,0,7002,133685,1,1
11693,3010,3042436,PENN STATION,,0,7009,133685,1,1
11693,3010,3042437,PENN STATION,,0,7002,133685,1,1
11693,3010,3042438,PENN STATION,,0,7009,133685,1,1
11693,3010,3042439,PENN STATION,,0,7002,133685,1,1
11693,3010,3042440,PENN STATION,,0,7009,133685,1,1
11693,3010,3042441,PENN STATION,,0,7002,133685,1,1
11693,3010,3042442,PENN STATION,,0,7009,133685,1,1
11693,3010,3042443,PENN STATION,,0,7002,133685,1,1
11693,3010,3042444,PENN STATION,,0,7009,133685,1,1
11693,3010,3042445,PENN STATION,,0,7002,133685,1,1
11693,3010,3042446,PENN STATION,,0,7009,133685,1,1
11693,3010,3042447,PENN STATION,,0,7009,133685,1,1
11693,3010,3042448,PENN STATION,,0,7002,133685,1,1
11693,3010,3042449,PENN STATION,,0,7009,133685,1,1
11693,3010,3042450,PENN STATION,,0,7002,133685,1,1
11693,3010,3042451,PENN STATION,,0,7009,133685,1,1
11693,3010,3042452,PENN STATION,,0,7002,133685,1,1
11693,3010,3042453,PENN STATION,,0,7002,133685,1,1
11693,3010,3042454,PENN STATION,,0,7009,133685,1,1
11693,3010,3042455,PENN STATION,,0,7002,133685,1,1
11693,3010,3042456,PENN STATION,,0,7009,133685,1,1
11693,3010,3042457,PENN STATION,,0,7002,133685,1,1
11693,3010,3042458,PENN STATION,,0,7009,133685,1,1
11693,3010,3042459,PENN STATION,,0,7002,133685,1,1
11693,301,3042460,TIMONIUM FAIRGROUNDS,,0,7021,133682,1,1
11693,301,3042461,TIMONIUM FAIRGROUNDS,,0,7010,133682,1,1
11693,301,3042462,NORTH AVE STATION,,0,7004,133680,1,1
11693,301,3042463,NORTH AVE STATION,,0,7015,133680,1,1
11693,301,3042464,NORTH AVE STATION,,0,7007,133680,1,1
11693,301,3042465,NORTH AVE STATION,,0,7005,133680,1,1
11693,301,3042466,NORTH AVE STATION,,0,7003,133680,1,1
11693,301,3042467,NORTH AVE STATION,,0,7008,133677,1,1
11693,301,3042468,NORTH AVE STATION,,0,7018,133677,1,1
11693,301,3042469,NORTH AVE STATION,,0,7020,133678,1,1
11693,301,3042470,NORTH AVE STATION,,0,7013,133678,1,1
11693,301,3042471,NORTH AVE STATION,,0,7024,133680,1,1
11693,301,3042472,NORTH AVE STATION,,0,7012,133680,1,1
11693,301,3042473,NORTH AVE STATION,,0,7022,133680,1,1
11693,301,3042474,NORTH AVE STATION,,0,7019,133677,1,1
11693,301,3042475,NORTH AVE STATION,,0,7023,133677,1,1
11693,301,3042476,NORTH AVE STATION,,0,7016,133677,1,1
11693,301,3042477,HUNT VALLEY,,0,7006,133681,1,1
11693,301,3042478,HUNT VALLEY,,0,7020,133681,1,1
