service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
101,1,1,1,1,1,0,0,20211102,20220701
102,0,0,0,0,0,1,0,20211107,20220701
103,0,0,0,0,0,0,1,20211108,20220701
104,0,0,0,0,1,0,0,20211102,20220701
101PennR,0,0,0,0,0,0,0,20211102,20220701
101CamdenR,0,0,0,0,0,0,0,20211102,20220701
101BrunswickR,0,0,0,0,0,0,0,20211102,20220701
101PennRP,0,0,0,0,0,0,0,20211102,20220701
101CamdenRP,0,0,0,0,0,0,0,20211102,20220701
101BrunswickRP,0,0,0,0,0,0,0,20211102,20220701
