shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
omjh,39.408297,-76.782691,2,8876.100421
omjh,39.407727,-76.781105,3,8876.2507
omjh,39.407514,-76.780433,4,8876.313104
omjh,39.407514,-76.780433,5,8876.313104
omjh,39.407161,-76.779415,6,8876.40897
omjh,39.407161,-76.779415,7,8876.40897
omjh,39.406107,-76.775496,8,8876.765489
omjh,39.406107,-76.775496,9,8876.765489
omjh,39.405747,-76.773348,10,8876.95433
omjh,39.405747,-76.773348,11,8876.95433
omjh,39.405747,-76.773348,12,8876.95433
omjh,39.40484,-76.769625,13,8877.289724
omjh,39.403204,-76.766771,14,8877.595048
omjh,39.400981,-76.764713,15,8877.89897
omjh,39.398378,-76.763587,16,8878.204153
omjh,39.395676,-76.76328,17,8878.505758
omjh,39.392935,-76.763227,18,8878.810577
omjh,39.389887,-76.762137,19,8879.162205
omjh,39.38828,-76.760472,20,8879.391124
omjh,39.386034,-76.757847,21,8879.727671
omjh,39.384076,-76.755912,22,8880.001637
omjh,39.381424,-76.754198,23,8880.331273
omjh,39.379002,-76.753285,24,8880.611786
omjh,39.376316,-76.752046,25,8880.928874
omjh,39.373881,-76.74915,26,8881.296671
omjh,39.372073,-76.74559,27,8881.662811
omjh,39.372073,-76.74559,28,8881.662811
omjh,39.372073,-76.74559,30,8881.662811
omjh,39.372073,-76.74559,31,8881.662811
omjh,39.371586,-76.744827,32,8881.747864
omjh,39.370919,-76.7435,33,8881.883924
omjh,39.369884,-76.741163,34,8882.115444
omjh,39.369401,-76.738174,35,8882.377936
omjh,39.369338,-76.735271,36,8882.627581
omjh,39.369243,-76.731915,37,8882.916262
omjh,39.368645,-76.729193,38,8883.159516
omjh,39.365627,-76.7247,39,8883.671178
omjh,39.363809,-76.722401,40,8883.953891
omjh,39.362284,-76.721306,41,8884.14784100001
omjh,39.36103,-76.7209,42,8884.29158200001
omjh,39.360675,-76.720805,43,8884.33189200001
omjh,39.360675,-76.720805,44,8884.33189200001
omjh,39.360239,-76.720787,45,8884.380398
omjh,39.360239,-76.720787,46,8884.380398
omjh,39.357917,-76.720055,47,8884.646152
omjh,39.355906,-76.716985,48,8884.992089
omjh,39.354491,-76.712036,49,8885.44575800001
omjh,39.354086,-76.710723,50,8885.567301
omjh,39.35345,-76.708383,51,8885.780564
omjh,39.353224,-76.707822,52,8885.83495300001
omjh,39.352781,-76.706367,54,8885.96940500001
omjh,39.352283,-76.705383,55,8886.07052200001
omjh,39.351563,-76.704079,56,8886.20829400001
omjh,39.351563,-76.704079,57,8886.20829400001
omjh,39.351378,-76.703553,58,8886.25798000001
omjh,39.351378,-76.703553,59,8886.25798000001
omjh,39.351218,-76.703396,60,8886.28031300001
omjh,39.351218,-76.703396,61,8886.28031300001
omjh,39.349848,-76.701019,62,8886.53522500001
omjh,39.348165,-76.697997,63,8886.85545100001
omjh,39.347107,-76.695988,64,8887.06445600001
omjh,39.347107,-76.695988,65,8887.06445600001
omjh,39.347107,-76.695988,66,8887.06445600001
omjh,39.346832,-76.695395,67,8887.12391400001
omjh,39.346473,-76.694935,68,8887.18011100001
omjh,39.346473,-76.694935,69,8887.18011100001
omjh,39.346287,-76.694604,70,8887.21529500001
omjh,39.346287,-76.694604,71,8887.21529500001
omjh,39.345884,-76.693679,72,8887.30659100001
omjh,39.345884,-76.693679,73,8887.30659100001
omjh,39.345671,-76.693492,74,8887.33521800001
omjh,39.344865,-76.691836,75,8887.50347500001
omjh,39.343726,-76.689951,76,8887.70918300001
omjh,39.342207,-76.685746,77,8888.10829200001
omjh,39.340524,-76.680225,78,8888.61862800001
omjh,39.33953,-76.677246,79,8888.89764100001
omjh,39.337086,-76.673645,80,8889.30965900001
omjh,39.336253,-76.672408,81,8889.45071600001
omjh,39.334749,-76.669206,82,8889.77290200001
omjh,39.334414,-76.667966,83,8889.88586600001
omjh,39.332749,-76.666004,84,8890.13636700001
omjh,39.330754,-76.664983,85,8890.37494900001
omjh,39.329133,-76.664438,86,8890.56119200001
omjh,39.328042,-76.664124,87,8890.68547600001
omjh,39.326021,-76.663852,88,8890.91141600001
omjh,39.32336,-76.662982,89,8891.21662200001
omjh,39.320005,-76.658205,90,8891.77162500001
omjh,39.318671,-76.654152,91,8892.15052000001
omjh,39.318323,-76.653595,92,8892.21211000001
omjh,39.31519,-76.64867,93,8892.76062600001
omjh,39.314241,-76.647659,94,8892.89737400001
omjh,39.311872,-76.644563,95,8893.27198600001
omjh,39.310412,-76.642979,96,8893.48394600001
omjh,39.307574,-76.639557,97,8893.91553100001
omjh,39.305349,-76.63687,98,8894.25414400001
omjh,39.304178,-76.635478,99,8894.43106000001
omjh,39.304035,-76.633246,100,8894.62376300001
omjh,39.303995,-76.628549,101,8895.02792800001
omjh,39.301997,-76.623693,102,8895.50114900001
omjh,39.30169,-76.623314,103,8895.54835900001
omjh,39.30169,-76.623314,104,8895.54835900001
omjh,39.301157,-76.622734,105,8895.62583900001
omjh,39.299004,-76.621633,106,8895.88330500001
omjh,39.297022,-76.621449,107,8896.10426100001
omjh,39.293214,-76.621016,108,8896.52932800001
omjh,39.291593,-76.620996,109,8896.70958300001
omjh,39.290317,-76.620664,110,8896.85431600001
omjh,39.289349,-76.617272,111,8897.16544200001
omjh,39.289391,-76.615955,112,8897.27887900001
omjh,39.289456,-76.61476,113,8897.38197400001
omjh,39.289456,-76.61476,114,8897.38197400001
omjh,39.289517,-76.61311,115,8897.52413500001
omjh,39.289617,-76.610794,116,8897.72376000001
omjh,39.289698,-76.608806,117,8897.89508400001
omjh,39.289808,-76.60631,118,8898.11023700001
omjh,39.289949,-76.604692,119,8898.25036100001
omjh,39.290057,-76.603319,120,8898.36912900001
omjh,39.29023,-76.600982,121,8898.57116700001
omjh,39.290333,-76.599555,122,8898.69450600001
omjh,39.290507,-76.598273,123,8898.806517
omjh,39.291706,-76.594799,124,8899.133863
omjh,39.293351,-76.594137,125,8899.325445
omjh,39.294935,-76.594257,126,8899.50188
omjh,39.294935,-76.594257,127,8899.50188
omjh,39.295933,-76.594199,128,8899.612965
omjh,39.295933,-76.594199,129,8899.612965
omjh,39.297218, -76.594140,130,8899.755941
omjh,39.297218, -76.594140,131,8899.755941
omjh,39.297218, -76.594140,132,8899.755941
rpjh,39.353224,-76.707822,1,0
rpjh,39.352781,-76.706367,3,0.134452
rpjh,39.352283,-76.705383,4,0.235569
rpjh,39.351563,-76.704079,5,0.373341
rpjh,39.351563,-76.704079,6,0.373341
rpjh,39.351378,-76.703553,7,0.423027
rpjh,39.351378,-76.703553,8,0.423027
rpjh,39.351218,-76.703396,9,0.44536
rpjh,39.351218,-76.703396,10,0.44536
rpjh,39.349848,-76.701019,11,0.700272
rpjh,39.348165,-76.697997,12,1.020498
rpjh,39.347107,-76.695988,13,1.229503
rpjh,39.347107,-76.695988,14,1.229503
rpjh,39.347107,-76.695988,15,1.229503
rpjh,39.346832,-76.695395,16,1.288961
rpjh,39.346473,-76.694935,17,1.345158
rpjh,39.346473,-76.694935,18,1.345158
rpjh,39.346287,-76.694604,19,1.380342
rpjh,39.346287,-76.694604,20,1.380342
rpjh,39.345884,-76.693679,21,1.471638
rpjh,39.345884,-76.693679,22,1.471638
rpjh,39.345671,-76.693492,23,1.500265
rpjh,39.344865,-76.691836,24,1.668522
rpjh,39.343726,-76.689951,25,1.87423
rpjh,39.342207,-76.685746,26,2.273339
rpjh,39.340524,-76.680225,27,2.783675
rpjh,39.33953,-76.677246,28,3.062688
rpjh,39.337086,-76.673645,29,3.474706
rpjh,39.336253,-76.672408,30,3.615763
rpjh,39.334749,-76.669206,31,3.937949
rpjh,39.334414,-76.667966,32,4.050913
rpjh,39.332749,-76.666004,33,4.301414
rpjh,39.330754,-76.664983,34,4.539996
rpjh,39.329133,-76.664438,35,4.726239
rpjh,39.328042,-76.664124,36,4.850523
rpjh,39.326021,-76.663852,37,5.076463
rpjh,39.32336,-76.662982,38,5.381669
rpjh,39.320005,-76.658205,39,5.936672
rpjh,39.318671,-76.654152,40,6.315567
rpjh,39.318323,-76.653595,41,6.377157
rpjh,39.31519,-76.64867,42,6.925673
rpjh,39.314241,-76.647659,43,7.062421
rpjh,39.311872,-76.644563,44,7.437033
rpjh,39.310412,-76.642979,45,7.648993
rpjh,39.307574,-76.639557,46,8.080578
rpjh,39.305349,-76.63687,47,8.419191
rpjh,39.304178,-76.635478,48,8.596107
rpjh,39.304035,-76.633246,49,8.78881
rpjh,39.303995,-76.628549,50,9.192975
rpjh,39.301997,-76.623693,51,9.666196
rpjh,39.30169,-76.623314,52,9.713406
rpjh,39.30169,-76.623314,53,9.713406
rpjh,39.301157,-76.622734,54,9.790886
rpjh,39.299004,-76.621633,55,10.048352
rpjh,39.297022,-76.621449,56,10.269308
rpjh,39.293214,-76.621016,57,10.694375
rpjh,39.291593,-76.620996,58,10.87463
rpjh,39.290317,-76.620664,59,11.019363
rpjh,39.289349,-76.617272,60,11.330489
rpjh,39.289391,-76.615955,61,11.443926
rpjh,39.289456,-76.61476,62,11.547021
rpjh,39.289456,-76.61476,63,11.547021
rpjh,39.289517,-76.61311,64,11.689182
rpjh,39.289617,-76.610794,65,11.888807
rpjh,39.289698,-76.608806,66,12.060131
rpjh,39.289808,-76.60631,67,12.275284
rpjh,39.289949,-76.604692,68,12.415408
rpjh,39.290057,-76.603319,69,12.534176
rpjh,39.29023,-76.600982,70,12.736214
rpjh,39.290333,-76.599555,71,12.859553
rpjh,39.290507,-76.598273,72,12.971564
rpjh,39.291706,-76.594799,73,13.29891
rpjh,39.293351,-76.594137,74,13.490492
rpjh,39.294935,-76.594257,75,13.666927
rpjh,39.294935,-76.594257,76,13.666927
rpjh,39.295933,-76.594199,77,13.778012
rpjh,39.295933,-76.594199,78,13.778012
rpjh,39.295933,-76.594199,79,13.778012
rpjh,39.297206,-76.594226,80,13.919582
rpjh,39.298229,-76.594357,81,14.033892
omrp,39.407514,-76.780433,5,34.124778
omrp,39.407161,-76.779415,6,34.220644
omrp,39.407161,-76.779415,7,34.220644
omrp,39.406107,-76.775496,8,34.577163
omrp,39.406107,-76.775496,9,34.577163
omrp,39.405747,-76.773348,10,34.766004
omrp,39.405747,-76.773348,11,34.766004
omrp,39.405747,-76.773348,12,34.766004
omrp,39.40484,-76.769625,13,35.101398
omrp,39.403204,-76.766771,14,35.406722
omrp,39.400981,-76.764713,15,35.710644
omrp,39.398378,-76.763587,16,36.015827
omrp,39.395676,-76.76328,17,36.317432
omrp,39.392935,-76.763227,18,36.622251
omrp,39.389887,-76.762137,19,36.973879
omrp,39.38828,-76.760472,20,37.202798
omrp,39.386034,-76.757847,21,37.539345
omrp,39.384076,-76.755912,22,37.813311
omrp,39.381424,-76.754198,23,38.142947
omrp,39.379002,-76.753285,24,38.42346
omrp,39.376316,-76.752046,25,38.740548
omrp,39.373881,-76.74915,26,39.108345
omrp,39.372073,-76.74559,27,39.474485
omrp,39.372073,-76.74559,28,39.474485
omrp,39.372073,-76.74559,30,39.474485
omrp,39.372073,-76.74559,31,39.474485
omrp,39.371586,-76.744827,32,39.559538
omrp,39.370919,-76.7435,33,39.695598
omrp,39.369884,-76.741163,34,39.927118
omrp,39.369401,-76.738174,35,40.18961
omrp,39.369338,-76.735271,36,40.439255
omrp,39.369243,-76.731915,37,40.727936
omrp,39.368645,-76.729193,38,40.97119
omrp,39.365627,-76.7247,39,41.482852
omrp,39.363809,-76.722401,40,41.765565
omrp,39.362284,-76.721306,41,41.959515
omrp,39.36103,-76.7209,42,42.103256
omrp,39.360675,-76.720805,43,42.143566
omrp,39.360675,-76.720805,44,42.143566
omrp,39.360239,-76.720787,45,42.192072
omrp,39.360239,-76.720787,46,42.192072
omrp,39.357917,-76.720055,47,42.457826
omrp,39.355906,-76.716985,48,42.803763
omrp,39.354491,-76.712036,49,43.257432
omrp,39.354086,-76.710723,50,43.378975
omrp,39.35345,-76.708383,51,43.592238
omrp,39.353224,-76.707822,52,43.646627
omrp,39.352781,-76.706367,54,43.781079
omrp,39.352283,-76.705383,55,43.882196
omrp,39.351563,-76.704079,56,44.019968
jhom,39.297206,-76.594228,1,0
jhom,39.297206,-76.594228,2,0
jhom,39.297206,-76.594228,3,0
jhom,39.295933,-76.594199,4,0.141573
jhom,39.295933,-76.594199,6,0.141573
jhom,39.294935,-76.594257,7,0.252658
jhom,39.294935,-76.594257,8,0.252658
jhom,39.294935,-76.594257,9,0.252658
jhom,39.294935,-76.594257,10,0.252658
jhom,39.291864,-76.594764,11,0.596914
jhom,39.290507,-76.598273,12,0.934491
jhom,39.290374,-76.600512,13,1.127743
jhom,39.290211,-76.602335,14,1.285672
jhom,39.289949,-76.604692,15,1.490595
jhom,39.289819,-76.607739,16,1.753217
jhom,39.2897,-76.610431,17,1.985267
jhom,39.289678,-76.611138,18,2.04616
jhom,39.289467,-76.614216,19,2.312089
jhom,39.289456,-76.61476,20,2.358922
jhom,39.289456,-76.61476,21,2.358922
jhom,39.289391,-76.615955,22,2.462017
jhom,39.289456,-76.61476,23,2.565112
jhom,39.289391,-76.615955,24,2.668207
jhom,39.289391,-76.615955,25,2.668207
jhom,39.289391,-76.615955,26,2.668207
jhom,39.289391,-76.615955,27,2.668207
jhom,39.289391,-76.615955,28,2.668207
jhom,39.290138,-76.620239,29,3.046128
jhom,39.29096,-76.621,30,3.158571
jhom,39.292228,-76.621099,31,3.299823
jhom,39.295128,-76.621274,32,3.62264
jhom,39.296266,-76.621278,33,3.74918
jhom,39.300188,-76.621732,34,4.187033
jhom,39.30169,-76.623314,35,4.402495
jhom,39.301997,-76.623693,36,4.449705
jhom,39.301997,-76.623693,37,4.449705
jhom,39.301997,-76.623693,38,4.449705
jhom,39.303764,-76.626823,39,4.783076
jhom,39.304114,-76.630114,40,5.068903
jhom,39.304025,-76.634832,41,5.47497
jhom,39.304754,-76.636118,42,5.612135
jhom,39.307315,-76.639165,43,5.999205
jhom,39.309885,-76.642289,44,6.391514
jhom,39.310792,-76.643398,45,6.530348
jhom,39.313358,-76.646372,46,6.913591
jhom,39.314902,-76.64836,47,7.155925
jhom,39.317653,-76.652212,48,7.606906
jhom,39.318323,-76.653595,49,7.74728
jhom,39.319709,-76.657267,50,8.09875
jhom,39.321512,-76.661876,51,8.543031
jhom,39.325405,-76.663892,52,9.009356
jhom,39.328042,-76.664124,53,9.303255
jhom,39.328042,-76.664124,54,9.303255
jhom,39.328042,-76.664124,55,9.303255
jhom,39.328042,-76.664124,56,9.303255
jhom,39.329133,-76.664438,57,9.427539
jhom,39.328301,-76.664199,58,9.52231
jhom,39.329133,-76.664438,59,9.617081
jhom,39.329133,-76.664438,60,9.617081
jhom,39.329133,-76.664438,61,9.617081
jhom,39.330322,-76.664793,62,9.752772
jhom,39.333067,-76.666159,63,10.079833
jhom,39.334414,-76.667966,64,10.295673
jhom,39.335857,-76.671788,65,10.661451
jhom,39.336675,-76.673012,66,10.800571
jhom,39.338698,-76.675751,67,11.126282
jhom,39.340173,-76.678975,68,11.44842
jhom,39.341509,-76.68346,69,11.861736
jhom,39.342918,-76.687871,70,12.272143
jhom,39.344449,-76.69125,71,12.608912
jhom,39.345171,-76.692547,72,12.746333
jhom,39.345884,-76.693679,73,12.871876
jhom,39.345884,-76.693679,74,12.871876
jhom,39.346287,-76.694604,75,12.963172
jhom,39.346287,-76.694604,76,12.963172
jhom,39.346287,-76.694604,77,12.963172
jhom,39.346287,-76.694604,78,12.963172
jhom,39.346832,-76.695395,79,13.054271
jhom,39.347107,-76.695988,80,13.113729
jhom,39.347107,-76.695988,81,13.113729
jhom,39.348553,-76.698508,82,13.383558
jhom,39.350471,-76.701961,83,13.749127
jhom,39.351218,-76.703396,84,13.897868
jhom,39.351563,-76.704079,85,13.968014
jhom,39.351563,-76.704079,86,13.968014
jhom,39.351563,-76.704079,87,13.968014
jhom,39.351563,-76.704079,88,13.968014
jhom,39.352283,-76.705383,89,14.105786
jhom,39.353224,-76.707822,90,14.340151
jhom,39.353346,-76.708077,91,14.365934
jhom,39.35345,-76.708383,92,14.394674
jhom,39.35345,-76.708383,93,14.394674
jhom,39.35345,-76.708383,94,14.394674
jhom,39.35345,-76.708383,95,14.394674
jhom,39.354086,-76.710723,96,14.607937
jhom,39.354491,-76.712036,97,14.72948
jhom,39.35526,-76.714685,98,14.972763
jhom,39.356785,-76.719151,99,15.392518
jhom,39.359023,-76.720493,100,15.666819
jhom,39.360239,-76.720787,101,15.804374
jhom,39.360675,-76.720805,102,15.85288
jhom,39.36103,-76.7209,103,15.89319
jhom,39.36103,-76.7209,104,15.89319
jhom,39.36103,-76.7209,105,15.89319
jhom,39.362284,-76.721306,106,16.036931
jhom,39.365076,-76.72392,107,16.420184
jhom,39.367615,-76.727135,108,16.815269
jhom,39.368645,-76.729193,109,17.026018
jhom,39.369243,-76.731915,110,17.269272
jhom,39.369342,-76.734561,111,17.496993
jhom,39.369401,-76.738174,112,17.807642
jhom,39.369884,-76.741163,113,18.070134
jhom,39.370919,-76.7435,114,18.301654
jhom,39.372073,-76.74559,115,18.522429
jhom,39.372673,-76.746733,117,18.64119
jhom,39.372673,-76.746733,118,18.64119
jhom,39.372673,-76.746733,119,18.64119
jhom,39.374883,-76.750609,120,19.055181
jhom,39.376316,-76.752046,121,19.25679
jhom,39.378743,-76.753183,122,19.54381
jhom,39.381424,-76.754198,123,19.854426
jhom,39.384076,-76.755912,124,20.184062
jhom,39.386034,-76.757847,125,20.458028
jhom,39.38828,-76.760472,126,20.794575
jhom,39.389887,-76.762137,127,21.023494
jhom,39.392935,-76.763227,128,21.375122
jhom,39.395676,-76.76328,129,21.679941
jhom,39.398378,-76.763587,130,21.981546
jhom,39.400981,-76.764713,131,22.286729
jhom,39.403204,-76.766771,132,22.590651
jhom,39.405249,-76.770847,133,23.008205
jhom,39.405747,-76.773348,134,23.230105
jhom,39.405934,-76.774426,135,23.325029
jhom,39.405934,-76.774426,136,23.325029
jhom,39.406107,-76.775496,137,23.418951
jhom,39.406107,-76.775496,138,23.418951
jhom,39.407161,-76.779415,139,23.77547
jhom,39.407514,-76.780433,140,23.871336
jhom,39.407514,-76.780433,141,23.871336
jhom,39.407514,-76.780433,142,23.871336
jhom,39.407727,-76.781105,143,23.93374
jhom,39.407727,-76.781105,144,23.93374
jhom,39.407727,-76.781105,145,23.93374
jhom,39.407727,-76.781105,146,23.93374
jhrp,39.299043,-76.594394,1,0
jhrp,39.298229,-76.594357,2,0.090569
jhrp,39.297206,-76.594226,3,0.204879
jhrp,39.295933,-76.594199,4,0.346449
jhrp,39.295933,-76.594199,5,0.346449
jhrp,39.295933,-76.594199,6,0.346449
jhrp,39.294935,-76.594257,7,0.457534
jhrp,39.294935,-76.594257,8,0.457534
jhrp,39.294935,-76.594257,9,0.457534
jhrp,39.294935,-76.594257,10,0.457534
jhrp,39.291864,-76.594764,11,0.80179
jhrp,39.290507,-76.598273,12,1.139367
jhrp,39.290374,-76.600512,13,1.332619
jhrp,39.290211,-76.602335,14,1.490548
jhrp,39.289949,-76.604692,15,1.695471
jhrp,39.289819,-76.607739,16,1.958093
jhrp,39.2897,-76.610431,17,2.190143
jhrp,39.289678,-76.611138,18,2.251036
jhrp,39.289467,-76.614216,19,2.516965
jhrp,39.289456,-76.61476,20,2.563798
jhrp,39.289456,-76.61476,21,2.563798
jhrp,39.289391,-76.615955,22,2.666893
jhrp,39.289456,-76.61476,23,2.769988
jhrp,39.289391,-76.615955,24,2.873083
jhrp,39.289391,-76.615955,25,2.873083
jhrp,39.289391,-76.615955,26,2.873083
jhrp,39.289391,-76.615955,27,2.873083
jhrp,39.289391,-76.615955,28,2.873083
jhrp,39.290138,-76.620239,29,3.251004
jhrp,39.29096,-76.621,30,3.363447
jhrp,39.292228,-76.621099,31,3.504699
jhrp,39.295128,-76.621274,32,3.827516
jhrp,39.296266,-76.621278,33,3.954056
jhrp,39.300188,-76.621732,34,4.391909
jhrp,39.30169,-76.623314,35,4.607371
jhrp,39.301997,-76.623693,36,4.654581
jhrp,39.301997,-76.623693,37,4.654581
jhrp,39.301997,-76.623693,38,4.654581
jhrp,39.303764,-76.626823,39,4.987952
jhrp,39.304114,-76.630114,40,5.273779
jhrp,39.304025,-76.634832,41,5.679846
jhrp,39.304754,-76.636118,42,5.817011
jhrp,39.307315,-76.639165,43,6.204081
jhrp,39.309885,-76.642289,44,6.59639
jhrp,39.310792,-76.643398,45,6.735224
jhrp,39.313358,-76.646372,46,7.118467
jhrp,39.314902,-76.64836,47,7.360801
jhrp,39.317653,-76.652212,48,7.811782
jhrp,39.318323,-76.653595,49,7.952156
jhrp,39.319709,-76.657267,50,8.303626
jhrp,39.321512,-76.661876,51,8.747907
jhrp,39.325405,-76.663892,52,9.214232
jhrp,39.328042,-76.664124,53,9.508131
jhrp,39.328042,-76.664124,54,9.508131
jhrp,39.328042,-76.664124,55,9.508131
jhrp,39.328042,-76.664124,56,9.508131
jhrp,39.329133,-76.664438,57,9.632415
jhrp,39.328301,-76.664199,58,9.727186
jhrp,39.329133,-76.664438,59,9.821957
jhrp,39.329133,-76.664438,60,9.821957
jhrp,39.329133,-76.664438,61,9.821957
jhrp,39.330322,-76.664793,62,9.957648
jhrp,39.333067,-76.666159,63,10.284709
jhrp,39.334414,-76.667966,64,10.500549
jhrp,39.335857,-76.671788,65,10.866327
jhrp,39.336675,-76.673012,66,11.005447
jhrp,39.338698,-76.675751,67,11.331158
jhrp,39.340173,-76.678975,68,11.653296
jhrp,39.341509,-76.68346,69,12.066612
jhrp,39.342918,-76.687871,70,12.477019
jhrp,39.344449,-76.69125,71,12.813788
jhrp,39.345171,-76.692547,72,12.951209
jhrp,39.345884,-76.693679,73,13.076752
jhrp,39.345884,-76.693679,74,13.076752
jhrp,39.346287,-76.694604,75,13.168048
jhrp,39.346287,-76.694604,76,13.168048
jhrp,39.346287,-76.694604,77,13.168048
jhrp,39.346287,-76.694604,78,13.168048
jhrp,39.346832,-76.695395,79,13.259147
jhrp,39.347107,-76.695988,80,13.318605
jhrp,39.347107,-76.695988,81,13.318605
jhrp,39.348553,-76.698508,82,13.588434
jhrp,39.350471,-76.701961,83,13.954003
jhrp,39.351218,-76.703396,84,14.102744
jhrp,39.351563,-76.704079,85,14.17289
jhrp,39.351563,-76.704079,86,14.17289
jhrp,39.351563,-76.704079,87,14.17289
